episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
567,67.5,15.0,0.8,217.5,0.35
568,141.25,7.5,0.95,131.25,0.3
569,50.0,7.5,0.85,142.5,0.4
570,167.5,11.25,0.925,191.25,0.25
571,110.0,3.75,0.975,416.25,0.25
572,142.5,48.75,0.875,258.75,0.3
573,160.0,7.5,0.95,202.5,0.25
574,171.25,127.5,0.75,101.25,0.25
575,80.0,18.75,0.825,191.25,0.35
576,142.5,56.25,0.85,161.25,0.375
577,33.75,15.0,0.75,161.25,0.3
578,115.0,93.75,0.7,191.25,0.25
579,161.25,82.5,0.75,176.25,0.3
580,122.5,90.0,0.8,277.5,0.35
581,153.75,78.75,0.775,97.5,0.325
582,166.25,0.0,1.0,123.75,0.375
583,93.75,26.25,0.8,90.0,0.25
584,112.5,75.0,0.825,112.5,0.275
585,148.75,33.75,0.925,67.5,0.275
586,65.0,0.0,0.925,225.0,0.25
587,116.25,108.75,0.725,165.0,0.3
588,0.0,0.0,1.0,270.0,0.275
589,83.75,78.75,0.85,127.5,0.225
590,76.25,30.0,0.9,33.75,0.2
591,77.5,191.25,0.55,101.25,0.3
592,122.5,15.0,0.875,82.5,0.375
593,86.25,120.0,0.675,213.75,0.25
594,67.5,52.5,0.875,180.0,0.25
595,40.0,191.25,0.55,318.75,0.25
596,45.0,0.0,0.975,405.0,0.25
597,160.0,142.5,0.725,187.5,0.4
598,173.75,0.0,0.975,176.25,0.375
599,81.25,176.25,0.6,22.5,0.325
600,118.75,101.25,0.775,60.0,0.35
601,128.75,56.25,0.85,45.0,0.3
602,152.5,153.75,0.575,123.75,0.425
603,112.5,56.25,0.85,161.25,0.375
604,187.5,22.5,0.85,60.0,0.175
605,72.5,22.5,0.925,105.0,0.275
606,70.0,0.0,1.0,150.0,0.375
607,15.0,33.75,0.875,281.25,0.325
608,70.0,135.0,0.65,315.0,0.25
609,50.0,22.5,0.9,247.5,0.325
610,121.25,67.5,0.8,71.25,0.3
611,158.75,0.0,0.925,11.25,0.275
612,142.5,101.25,0.775,56.25,0.325
613,-1.25,326.25,0.325,105.0,0.275
614,32.5,45.0,0.8,412.5,0.275
615,60.0,0.0,1.0,120.0,0.3
616,148.75,86.25,0.775,75.0,0.3
617,72.5,11.25,0.925,206.25,0.3
618,82.5,52.5,0.825,225.0,0.325
619,108.75,176.25,0.625,195.0,0.225
620,123.75,93.75,0.7,112.5,0.275
621,90.0,33.75,0.825,206.25,0.325
