timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
24,fair_1,fair,0,4,10582.5,20.0,60.0,60.0,1.0,40.0,0.0,582.5,112.5,,
24,max_1,max,0,4,10577.5,5.0,15.0,0.0,0.0,-5.0,15.0,577.5,683.25,,
24,rnd_1,random,0,4,10596.25,15.0,45.0,33.75,0.75,18.75,11.25,596.25,558.0,,
25,fair_1,fair,0,4,10636.25,20.0,60.0,60.0,1.0,40.0,0.0,636.25,112.5,,
25,max_1,max,0,4,10626.25,10.0,30.0,0.0,0.0,-10.0,30.0,626.25,713.25,,
25,rnd_1,random,0,4,10666.25,20.0,60.0,60.0,1.0,40.0,0.0,666.25,558.0,,
26,fair_1,fair,0,4,10696.25,15.0,45.0,45.0,1.0,30.0,0.0,696.25,112.5,,
26,max_1,max,0,4,10691.25,5.0,15.0,0.0,0.0,-5.0,15.0,691.25,728.25,,
26,rnd_1,random,0,4,10698.75,15.0,45.0,22.5,0.5,7.5,22.5,698.75,580.5,,
27,fair_1,fair,0,4,10728.75,15.0,45.0,45.0,1.0,30.0,0.0,728.75,112.5,,
27,max_1,max,0,4,10713.75,15.0,45.0,0.0,0.0,-15.0,45.0,713.75,773.25,,
27,rnd_1,random,0,4,10693.75,20.0,60.0,0.0,0.0,-20.0,60.0,693.75,640.5,,
28,fair_1,fair,0,4,10718.75,20.0,60.0,45.0,0.75,25.0,15.0,718.75,127.5,,
28,max_1,max,0,4,10698.75,20.0,60.0,0.0,0.0,-20.0,60.0,698.75,833.25,,
28,rnd_1,random,0,4,10693.75,20.0,60.0,15.0,0.25,-5.0,45.0,693.75,685.5,,
29,fair_1,fair,0,4,10712.5,15.0,45.0,33.75,0.75,18.75,11.25,712.5,138.75,,
29,max_1,max,0,4,10712.25,1.0,3.0,0.75,0.25,-0.25,2.25,712.25,835.5,,
29,rnd_1,random,0,4,10737.25,20.0,60.0,45.0,0.75,25.0,15.0,737.25,700.5,,
30,fair_1,fair,0,4,10767.25,15.0,45.0,45.0,1.0,30.0,0.0,767.25,138.75,,
30,max_1,max,0,4,10762.25,5.0,15.0,0.0,0.0,-5.0,15.0,762.25,850.5,,
30,rnd_1,random,0,4,10769.75,15.0,45.0,22.5,0.5,7.5,22.5,769.75,723.0,,
31,fair_1,fair,0,4,10809.75,20.0,60.0,60.0,1.0,40.0,0.0,809.75,138.75,,
31,max_1,max,0,4,10789.75,20.0,60.0,0.0,0.0,-20.0,60.0,789.75,910.5,,
31,rnd_1,random,0,4,10799.75,20.0,60.0,30.0,0.5,10.0,30.0,799.75,753.0,,
32,fair_1,fair,0,4,10824.75,20.0,60.0,45.0,0.75,25.0,15.0,824.75,153.75,,
32,max_1,max,0,4,10819.75,5.0,15.0,0.0,0.0,-5.0,15.0,819.75,925.5,,
32,rnd_1,random,0,4,10814.75,20.0,60.0,15.0,0.25,-5.0,45.0,814.75,798.0,,
33,fair_1,fair,0,4,10854.75,20.0,60.0,60.0,1.0,40.0,0.0,854.75,153.75,,
33,max_1,max,0,4,10853.75,1.0,3.0,0.0,0.0,-1.0,3.0,853.75,928.5,,
33,rnd_1,random,0,4,10848.75,20.0,60.0,15.0,0.25,-5.0,45.0,848.75,843.0,,
34,fair_1,fair,0,4,10878.75,15.0,45.0,45.0,1.0,30.0,0.0,878.75,153.75,,
34,max_1,max,0,4,10873.75,5.0,15.0,0.0,0.0,-5.0,15.0,873.75,943.5,,
34,rnd_1,random,0,4,10883.75,20.0,60.0,30.0,0.5,10.0,30.0,883.75,873.0,,
35,fair_1,fair,0,4,10913.75,15.0,45.0,45.0,1.0,30.0,0.0,913.75,153.75,,
35,max_1,max,0,4,10908.75,5.0,15.0,0.0,0.0,-5.0,15.0,908.75,958.5,,
35,rnd_1,random,0,4,10888.75,20.0,60.0,0.0,0.0,-20.0,60.0,888.75,933.0,,
36,fair_1,fair,0,4,10918.75,15.0,45.0,45.0,1.0,30.0,0.0,918.75,153.75,,
36,max_1,max,0,4,10908.75,10.0,30.0,0.0,0.0,-10.0,30.0,908.75,988.5,,
36,rnd_1,random,0,4,10907.75,1.0,3.0,0.0,0.0,-1.0,3.0,907.75,936.0,,
37,fair_1,fair,0,4,10909.0,1.0,3.0,2.25,0.75,1.25,0.75,909.0,154.5,,
37,max_1,max,0,4,10908.0,1.0,3.0,0.0,0.0,-1.0,3.0,908.0,991.5,,
37,rnd_1,random,0,4,10909.25,1.0,3.0,2.25,0.75,1.25,0.75,909.25,936.75,,
38,fair_1,fair,0,4,10928.0,15.0,45.0,33.75,0.75,18.75,11.25,928.0,165.75,,
38,max_1,max,0,4,10908.0,20.0,60.0,0.0,0.0,-20.0,60.0,908.0,1051.5,,
38,rnd_1,random,0,4,10907.0,1.0,3.0,0.0,0.0,-1.0,3.0,907.0,939.75,,
39,fair_1,fair,0,4,10919.5,10.0,30.0,22.5,0.75,12.5,7.5,919.5,173.25,,
39,max_1,max,0,4,10909.5,10.0,30.0,0.0,0.0,-10.0,30.0,909.5,1081.5,,
39,rnd_1,random,0,4,10910.0,1.0,3.0,1.5,0.5,0.5,1.5,910.0,941.25,,
40,fair_1,fair,0,4,10916.25,5.0,15.0,11.25,0.75,6.25,3.75,916.25,177.0,,
40,max_1,max,0,4,10911.25,5.0,15.0,0.0,0.0,-5.0,15.0,911.25,1096.5,,
40,rnd_1,random,0,4,10911.75,1.0,3.0,1.5,0.5,0.5,1.5,911.75,942.75,,
41,fair_1,fair,0,4,10918.0,5.0,15.0,11.25,0.75,6.25,3.75,918.0,180.75,,
41,max_1,max,0,4,10917.0,1.0,3.0,0.0,0.0,-1.0,3.0,917.0,1099.5,,
41,rnd_1,random,0,4,10919.0,1.0,3.0,3.0,1.0,2.0,0.0,919.0,942.75,,
42,fair_1,fair,0,4,10925.25,5.0,15.0,11.25,0.75,6.25,3.75,925.25,184.5,,
42,max_1,max,0,4,10920.25,5.0,15.0,0.0,0.0,-5.0,15.0,920.25,1114.5,,
42,rnd_1,random,0,4,10920.75,1.0,3.0,1.5,0.5,0.5,1.5,920.75,944.25,,
43,fair_1,fair,0,4,10927.0,5.0,15.0,11.25,0.75,6.25,3.75,927.0,188.25,,
43,max_1,max,0,4,10912.0,15.0,45.0,0.0,0.0,-15.0,45.0,912.0,1159.5,,
43,rnd_1,random,0,4,10911.0,1.0,3.0,0.0,0.0,-1.0,3.0,911.0,947.25,,
44,fair_1,fair,0,4,10912.25,1.0,3.0,2.25,0.75,1.25,0.75,912.25,189.0,,
44,max_1,max,0,4,10911.25,1.0,3.0,0.0,0.0,-1.0,3.0,911.25,1162.5,,
44,rnd_1,random,0,4,10917.5,5.0,15.0,11.25,0.75,6.25,3.75,917.5,951.0,,
45,fair_1,fair,0,4,10923.75,5.0,15.0,11.25,0.75,6.25,3.75,923.75,192.75,,
45,max_1,max,0,4,10918.75,5.0,15.0,0.0,0.0,-5.0,15.0,918.75,1177.5,,
45,rnd_1,random,0,4,10920.75,1.0,3.0,3.0,1.0,2.0,0.0,920.75,951.0,,
46,fair_1,fair,0,4,10927.0,5.0,15.0,11.25,0.75,6.25,3.75,927.0,196.5,,
46,max_1,max,0,4,10922.0,5.0,15.0,0.0,0.0,-5.0,15.0,922.0,1192.5,,
46,rnd_1,random,0,4,10917.0,5.0,15.0,0.0,0.0,-5.0,15.0,917.0,966.0,,
47,fair_1,fair,0,4,10923.25,5.0,15.0,11.25,0.75,6.25,3.75,923.25,200.25,,
47,max_1,max,0,4,10903.25,20.0,60.0,0.0,0.0,-20.0,60.0,903.25,1252.5,,
47,rnd_1,random,0,4,10904.5,1.0,3.0,2.25,0.75,1.25,0.75,904.5,966.75,,
48,fair_1,fair,0,4,10910.75,5.0,15.0,11.25,0.75,6.25,3.75,910.75,204.0,,
48,max_1,max,0,4,10905.75,5.0,15.0,0.0,0.0,-5.0,15.0,905.75,1267.5,,
48,rnd_1,random,0,4,10904.75,1.0,3.0,0.0,0.0,-1.0,3.0,904.75,969.75,,
49,fair_1,fair,0,4,10911.0,5.0,15.0,11.25,0.75,6.25,3.75,911.0,207.75,,
49,max_1,max,0,4,10910.0,1.0,3.0,0.0,0.0,-1.0,3.0,910.0,1270.5,,
49,rnd_1,random,0,4,10912.0,1.0,3.0,3.0,1.0,2.0,0.0,912.0,969.75,,
