timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
88,fair_1,fair,0,4,12276.25,0.0,0.0,0.0,1.0,0.0,0.0,2276.25,1371.0,,
88,max_1,max,0,4,12283.25,5.0,15.0,12.0,0.8,7.0,3.0,2283.25,1551.0,,
88,fair_2,fair,0,4,12270.5,15.0,45.0,2.25,0.05,-12.75,42.75,2270.5,1709.25,,
88,max_2,max,0,4,12270.5,0.0,0.0,0.0,0.0,0.0,0.0,2270.5,1088.25,,
89,fair_1,fair,0,4,12279.75,5.0,15.0,14.25,0.95,9.25,0.75,2279.75,1371.75,,
89,max_1,max,0,4,12265.75,20.0,60.0,6.0,0.1,-14.0,54.0,2265.75,1605.0,,
89,fair_2,fair,0,4,12272.0,5.0,15.0,11.25,0.75,6.25,3.75,2272.0,1713.0,,
89,max_2,max,0,4,12272.0,0.0,0.0,0.0,0.6,0.0,0.0,2272.0,1088.25,,
90,fair_1,fair,0,4,12299.75,15.0,45.0,42.75,0.95,27.75,2.25,2299.75,1374.0,,
90,max_1,max,0,4,12296.25,5.0,15.0,1.5,0.1,-3.5,13.5,2296.25,1618.5,,
90,fair_2,fair,0,4,12279.25,20.0,60.0,3.0,0.05,-17.0,57.0,2279.25,1770.0,,
90,max_2,max,0,4,12279.25,0.0,0.0,0.0,0.0,0.0,0.0,2279.25,1088.25,,
91,fair_1,fair,0,4,12316.25,20.0,60.0,57.0,0.95,37.0,3.0,2316.25,1377.0,,
91,max_1,max,0,4,12316.25,0.0,0.0,0.0,0.0,0.0,0.0,2316.25,1618.5,,
91,fair_2,fair,0,4,12303.5,15.0,45.0,2.25,0.05,-12.75,42.75,2303.5,1812.75,,
91,max_2,max,0,4,12303.5,0.0,0.0,0.0,0.0,0.0,0.0,2303.5,1088.25,,
92,fair_1,fair,0,4,12340.5,20.0,60.0,57.0,0.95,37.0,3.0,2340.5,1380.0,,
92,max_1,max,0,4,12343.75,5.0,15.0,8.25,0.55,3.25,6.75,2343.75,1625.25,,
92,fair_2,fair,0,4,12343.75,0.0,0.0,0.0,0.95,0.0,0.0,2343.75,1812.75,,
92,max_2,max,0,4,12343.75,0.0,0.0,0.0,0.5,0.0,0.0,2343.75,1088.25,,
93,fair_1,fair,0,4,12380.75,20.0,60.0,57.0,0.95,37.0,3.0,2380.75,1383.0,,
93,max_1,max,0,4,12377.25,5.0,15.0,1.5,0.1,-3.5,13.5,2377.25,1638.75,,
93,fair_2,fair,0,4,12417.25,20.0,60.0,60.0,1.0,40.0,0.0,2417.25,1812.75,,
93,max_2,max,0,4,12419.75,5.0,15.0,7.5,0.5,2.5,7.5,2419.75,1095.75,,
94,fair_1,fair,0,4,12419.75,0.0,0.0,0.0,0.0,0.0,0.0,2419.75,1383.0,,
94,max_1,max,0,4,12416.25,5.0,15.0,1.5,0.1,-3.5,13.5,2416.25,1652.25,,
94,fair_2,fair,0,4,12456.25,20.0,60.0,60.0,1.0,40.0,0.0,2456.25,1812.75,,
94,max_2,max,0,4,12456.25,0.0,0.0,0.0,0.0,0.0,0.0,2456.25,1095.75,,
95,fair_1,fair,0,4,12486.25,15.0,45.0,45.0,1.0,30.0,0.0,2486.25,1383.0,,
95,max_1,max,0,4,12482.75,5.0,15.0,1.5,0.1,-3.5,13.5,2482.75,1665.75,,
95,fair_2,fair,0,4,12510.75,20.0,60.0,48.0,0.8,28.0,12.0,2510.75,1824.75,,
95,max_2,max,0,4,12505.75,5.0,15.0,0.0,0.0,-5.0,15.0,2505.75,1110.75,,
96,fair_1,fair,0,4,12505.75,0.0,0.0,0.0,0.95,0.0,0.0,2505.75,1383.0,,
96,max_1,max,0,4,12512.75,5.0,15.0,12.0,0.8,7.0,3.0,2512.75,1668.75,,
96,fair_2,fair,0,4,12542.75,15.0,45.0,45.0,1.0,30.0,0.0,2542.75,1824.75,,
96,max_2,max,0,4,12542.75,0.0,0.0,0.0,0.25,0.0,0.0,2542.75,1110.75,,
97,fair_1,fair,0,4,12542.75,0.0,0.0,0.0,0.8,0.0,0.0,2542.75,1383.0,,
97,max_1,max,0,4,12539.25,5.0,15.0,1.5,0.1,-3.5,13.5,2539.25,1682.25,,
97,fair_2,fair,0,4,12519.25,20.0,60.0,0.0,0.0,-20.0,60.0,2519.25,1884.75,,
97,max_2,max,0,4,12519.25,0.0,0.0,0.0,0.55,0.0,0.0,2519.25,1110.75,,
98,fair_1,fair,0,4,12559.25,20.0,60.0,60.0,1.0,40.0,0.0,2559.25,1383.0,,
98,max_1,max,0,4,12559.25,0.0,0.0,0.0,0.1,0.0,0.0,2559.25,1682.25,,
98,fair_2,fair,0,4,12559.25,0.0,0.0,0.0,0.15,0.0,0.0,2559.25,1884.75,,
98,max_2,max,0,4,12559.25,0.0,0.0,0.0,0.0,0.0,0.0,2559.25,1110.75,,
99,fair_1,fair,0,4,12559.25,0.0,0.0,0.0,0.95,0.0,0.0,2559.25,1383.0,,
99,max_1,max,0,4,12555.75,5.0,15.0,1.5,0.1,-3.5,13.5,2555.75,1695.75,,
99,fair_2,fair,0,4,12538.75,20.0,60.0,3.0,0.05,-17.0,57.0,2538.75,1941.75,,
99,max_2,max,0,4,12533.75,5.0,15.0,0.0,0.0,-5.0,15.0,2533.75,1125.75,,
100,fair_1,fair,0,4,12570.75,20.0,60.0,57.0,0.95,37.0,3.0,2570.75,1386.0,"[-0.8365477919578552, -0.14333118498325348, 0.5843164920806885, 0.7798632383346558, 0.4626748263835907]","{""own"": [0.0, 0.0, 0.0, 0.0, 20.0, 60.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
