timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
2,1,a2,fair,0,0,4,2.5,-46.25,-17.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,97.5,6
3,0,a1,max,0,0,4,-18.75,-56.25,-38.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,138.75,6
3,1,a2,fair,0,0,4,8.75,-50.0,-11.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,101.25,6
4,0,a1,max,0,0,4,-23.75,-55.0,-43.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,153.75,6
4,1,a2,fair,0,0,4,7.5,-56.25,-12.5,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,112.5,6
5,0,a1,max,0,0,4,-33.75,-66.25,-53.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,183.75,6
5,1,a2,fair,0,0,4,7.5,-66.25,-12.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,112.5,6
6,0,a1,max,0,0,4,-43.75,-76.25,-63.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,213.75,6
6,1,a2,fair,0,0,4,7.5,-76.25,-12.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,112.5,6
7,0,a1,max,0,0,4,-53.75,-86.25,-73.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,243.75,6
7,1,a2,fair,0,0,4,7.5,-86.25,-12.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,112.5,6
8,0,a1,max,0,0,4,-68.75,-101.25,-88.75,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,288.75,6
8,1,a2,fair,0,0,4,7.5,-101.25,-12.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,112.5,6
9,0,a1,max,0,0,4,-78.75,-111.25,-98.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,318.75,6
9,1,a2,fair,0,0,4,7.5,-111.25,-12.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,112.5,6
0,0,a1,max,0,0,4,26.25,6.25,6.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,3.75,7
0,1,a2,fair,0,0,4,15.0,1.25,-5.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,15.0,7
1,0,a1,max,0,0,4,16.25,-8.75,-3.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,33.75,7
