timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,episode
9,fair_1,fair,0,4,28.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-11.25,101.25,10
9,max_1,max,0,4,23.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-16.25,315.0,10
0,fair_1,fair,0,4,40.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,11
0,max_1,max,0,4,20.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-20.0,60.0,11
1,fair_1,fair,0,4,20.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-20.0,0.0,11
1,max_1,max,0,4,15.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-25.0,75.0,11
2,fair_1,fair,0,4,22.5,15.0,15.0,45.0,22.5,0.5,7.5,22.5,-17.5,22.5,11
2,max_1,max,0,4,2.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-37.5,135.0,11
3,fair_1,fair,0,4,15.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-25.0,30.0,11
3,max_1,max,0,4,10.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-30.0,150.0,11
4,fair_1,fair,0,4,22.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-17.5,37.5,11
4,max_1,max,0,4,12.5,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-27.5,180.0,11
5,fair_1,fair,0,4,25.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-15.0,45.0,11
5,max_1,max,0,4,20.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-20.0,195.0,11
6,fair_1,fair,0,4,38.75,15.0,15.0,45.0,33.75,0.75,18.75,11.25,-1.25,56.25,11
6,max_1,max,0,4,38.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,195.0,11
7,fair_1,fair,0,4,57.5,15.0,15.0,45.0,33.75,0.75,18.75,11.25,17.5,67.5,11
7,max_1,max,0,4,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,195.0,11
8,fair_1,fair,0,4,82.5,20.0,20.0,60.0,45.0,0.75,25.0,15.0,42.5,82.5,11
8,max_1,max,0,4,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,195.0,11
9,fair_1,fair,0,4,95.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,55.0,90.0,11
9,max_1,max,0,4,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,195.0,11
